ID_Cliente,Evasao,Genero,Maior65,Parceiro,Dependentes,MesesContrato,ServicoTelefonico,MultiplasLinhas,ServicoInternet,AdicionalSeguranca,AdicionalBackup,AdicionalProtecao,AdicionalSuporte,ServicoTVCabo,ServicoFilme,TipoContrato,FaturaOnline,FormaPagamento,CobrancaDiaria,CobrancaMensal,CobrancaTotal
0047-ZHDTW,,Feminino,Não,Não,Não,11,Sim,Sim,Fibra óptica,Sim,Não,Não,Não,Não,Não,Mensal,Sim,Transferência bancária (automâtico),2.63,79.0,929.3
0120-YZLQA,,Masculino,Não,Não,Não,71,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,Sim,Cartão de crédito (automático),0.66,19.9,1355.1
0154-QYHJU,,Masculino,Não,Não,Não,29,Sim,Não,DSL,Sim,Sim,Não,Sim,Não,Não,Anual,Sim,Cheque eletrônico,1.96,58.75,1696.2
0162-RZGMZ,,Feminino,Sim,Não,Não,5,Sim,Não,DSL,Sim,Sim,Não,Sim,Não,Não,Mensal,Não,Cartão de crédito (automático),2.0,59.9,287.85
0274-VVQOQ,,Masculino,Sim,Sim,Não,65,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Sim,Sim,Anual,Sim,Transferência bancária (automâtico),3.44,103.15,6792.45
0328-IBUPK,,Feminino,Não,Sim,Sim,51,Não,Sem serviço telefônico,DSL,Sim,Não,Não,Sim,Não,Não,Bianual,Não,Transferência bancária (automâtico),1.14,34.2,1782.0
0448-YZNZE,,Masculino,Sim,Sim,Não,27,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Não,Sim,Mensal,Sim,Cheque eletrônico,3.18,95.55,2510.2
0510-EXSMQ,,Feminino,Não,Não,Não,9,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque eletrônico,2.3,69.05,651.5
0530-HBKHZ,,Feminino,Sim,Sim,Não,1,Não,Sem serviço telefônico,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,0.83,24.8,24.8
0534-JRNIG,,Feminino,Não,Não,Não,6,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Transferência bancária (automâtico),3.12,93.55,536.4
0542-YUDZL,,Feminino,Não,Sim,Sim,14,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Não,Cheque por correio,0.85,25.55,372.45
0548-BCTNE,,Masculino,Não,Não,Não,48,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Sim,Sim,Anual,Sim,Cartão de crédito (automático),3.54,106.1,5082.8
0567-DLARH,,Feminino,Não,Sim,Sim,30,Não,Sem serviço telefônico,DSL,Não,Não,Não,Sim,Sim,Sim,Mensal,Não,Cartão de crédito (automático),1.71,51.2,1561.5
0622-OCUQY,,Masculino,Não,Não,Não,44,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,Não,Cheque por correio,0.67,20.05,845.25
0639-QDHAY,,Feminino,Não,Não,Não,22,Sim,Não,Fibra óptica,Sim,Não,Não,Sim,Não,Sim,Mensal,Sim,Cheque eletrônico,2.97,89.05,1886.25
0699-XSLUE,,Masculino,Não,Sim,Sim,71,Sim,Sim,DSL,Sim,Não,Sim,Sim,Sim,Sim,Anual,Não,Cheque eletrônico,2.85,85.45,6300.85
0769-WXZYU,,Masculino,Não,Não,Não,34,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,Não,Transferência bancária (automâtico),0.87,26.1,980.35
0840-JCCUW,,Feminino,Não,Sim,Não,2,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,1.5,45.0,89.75
0910-AJOHQ,,Feminino,Não,Não,Não,64,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,Sim,Transferência bancária (automâtico),3.84,115.1,7334.05
0950-TZGED,,Masculino,Não,Não,Não,56,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,Sim,Transferência bancária (automâtico),0.86,25.95,1444.05
0968-FTNYZ,,Feminino,Não,Não,Sim,13,Sim,Não,DSL,Sim,Sim,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,1.87,56.0,764.55
1058-CIYUA,,Feminino,Sim,Sim,Não,52,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Sim,Sim,Anual,Sim,Cheque eletrônico,3.55,106.5,5621.85
1119-VJAQV,,Masculino,Sim,Sim,Não,6,Sim,Sim,Fibra óptica,Não,Não,Sim,Não,Não,Não,Mensal,Sim,Cheque eletrônico,2.69,80.8,457.1
